CDP,Population,County
Baltic,"1,250",New London
Bethel,"9,549",Fairfield
Bethlehem Village,"2,021",Litchfield
Blue Hills,"2,901",Hartford
Branford Center,"5,819",New Haven
Broad Brook,"4,069",Hartford
Brooklyn,981,Windham
Byram,"4,146",Fairfield
Canaan,"1,212",Litchfield
Cannondale,141,Fairfield
Canton Valley,"1,580",Hartford
Cheshire Village,"5,786",New Haven
Chester Center,"1,558",Middlesex
Clinton,"3,368",Middlesex
Colchester,"4,781",New London
Collinsville,"3,746",Hartford
Conning Towers Nautilus Park,"8,834",New London
Cos Cob,"6,770",Fairfield
Coventry Lake,"2,990",Tolland
Crystal Lake,"1,945",Tolland
Darien,"20,732",Fairfield
Deep River Center,"2,484",Middlesex
Durham,"2,933",Middlesex
East Brooklyn,"1,638",Windham
East Hampton,"2,691",Middlesex
East Hartford,"51,252",Hartford
East Haven,"29,257",New Haven
Essex Village,"2,495",Middlesex
Falls Village,538,Litchfield
Gales Ferry,"1,162",New London
Georgetown,"1,805",Fairfield
Glastonbury Center,"7,387",Hartford
Glenville,"2,327",Fairfield
Greenwich,"12,942",Fairfield
Guilford,"2,597",New Haven
Hazardville,"4,599",Hartford
Heritage Village,"3,736",New Haven
Higganum,"1,698",Middlesex
Kensington,"8,459",Hartford
Lake Pocotopaug,"3,436",Middlesex
Lakeville,928,Litchfield
Long Hill,"4,205",New London
Madison Center,"2,290",New Haven
Manchester,"30,577",Hartford
Mansfield Center,947,Tolland
Mashantucket,299,New London
Moodus,"1,413",Middlesex
Moosup,"3,231",Windham
Mystic,"4,205",New London
New Hartford Center,"1,385",Litchfield
New Milford,"6,523",Litchfield
New Preston,"1,182",Litchfield
Newington,"30,562",Hartford
Niantic,"3,114",New London
Noank,"1,796",New London
Norfolk,553,Litchfield
North Granby,"1,944",Hartford
North Grosvenor Dale,"1,530",Windham
North Haven,"24,093",New Haven
Northwest Harwinton,"3,252",Litchfield
Oakville,"9,047",Litchfield
Old Greenwich,"6,611",Fairfield
Old Mystic,"3,554",New London
Old Saybrook Center,"2,039",Middlesex
Orange,"13,956",New Haven
Oxoboxo River,"3,165",New London
Pawcatuck,"5,624",New London
Pemberwick,"3,680",Fairfield
Plainfield Village,"2,557",Windham
Poquonock Bridge,"1,727",New London
Portland,"5,862",Middlesex
Putnam,"7,214",Windham
Quinebaug,"1,133",Windham
Ridgefield,"7,645",Fairfield
Riverside,"8,416",Fairfield
Rockville,"7,474",Tolland
Salmon Brook,"2,324",Hartford
Saybrook Manor,"1,052",Middlesex
Sharon,729,Litchfield
Sherwood Manor,"5,410",Hartford
Simsbury Center,"5,836",Hartford
Somers,"1,789",Tolland
South Coventry,"1,483",Tolland
South Windham,"1,421",Windham
South Woodstock,"1,291",Windham
Southport,"1,585",Fairfield
Southwood Acres,"7,657",Hartford
Stafford Springs,"4,988",Tolland
Storrs,"15,344",Tolland
Stratford,"51,384",Fairfield
Suffield Depot,"1,325",Hartford
Tariffville,"1,324",Hartford
Terramuggus,"1,025",Hartford
Terryville,"5,387",Litchfield
Thomaston,"1,910",Litchfield
Thompsonville,"8,577",Hartford
Trumbull,"36,018",Fairfield
Wallingford Center,"18,209",New Haven
Waterford,"2,887",New London
Watertown,"3,574",Litchfield
Wauregan,"1,205",Windham
Weatogue,"2,776",Hartford
West Hartford,"63,268",Hartford
West Simsbury,"2,447",Hartford
Westbrook Center,"2,413",Middlesex
Westport,"26,391",Fairfield
Wethersfield,"26,668",Hartford
Willimantic,"17,737",Windham
Wilton Center,732,Fairfield
Windsor Locks,"12,498",Hartford
Winsted,"7,712",Litchfield
Woodbury Center,"1,294",Litchfield
