"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Connecticut","09","2005-2009","All","Number","Median Household Income",67721.0
"Connecticut","09","2005-2009","All","Number","Margins of Error",389.0
"Connecticut","09","2005-2009","All","Ratio to State Median","Median Household Income",1.0
"Connecticut","09","2005-2009","All","Ratio to State Median","Margins of Error",0.01
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Number","Median Household Income",45615.0
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",6184.0
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Ratio to State Median","Median Household Income",1.0
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Ratio to State Median","Margins of Error",0.19
"Connecticut","09","2005-2009","Asian Alone","Number","Median Household Income",82212.0
"Connecticut","09","2005-2009","Asian Alone","Number","Margins of Error",2608.0
"Connecticut","09","2005-2009","Asian Alone","Ratio to State Median","Median Household Income",1.0
"Connecticut","09","2005-2009","Asian Alone","Ratio to State Median","Margins of Error",0.04
"Connecticut","09","2005-2009","Black or African American Alone","Number","Median Household Income",43353.0
"Connecticut","09","2005-2009","Black or African American Alone","Number","Margins of Error",1328.0
"Connecticut","09","2005-2009","Black or African American Alone","Ratio to State Median","Median Household Income",1.0
"Connecticut","09","2005-2009","Black or African American Alone","Ratio to State Median","Margins of Error",0.04
"Connecticut","09","2005-2009","Hispanic or Latino","Number","Median Household Income",39868.0
"Connecticut","09","2005-2009","Hispanic or Latino","Number","Margins of Error",980.0
"Connecticut","09","2005-2009","Hispanic or Latino","Ratio to State Median","Median Household Income",1.0
"Connecticut","09","2005-2009","Hispanic or Latino","Ratio to State Median","Margins of Error",0.03
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Median Household Income",78512.0
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",56124.0
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Median Household Income",1.0
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Ratio to State Median","Margins of Error",1.01
"Connecticut","09","2005-2009","Some Other Race Alone","Number","Median Household Income",37694.0
"Connecticut","09","2005-2009","Some Other Race Alone","Number","Margins of Error",1355.0
"Connecticut","09","2005-2009","Some Other Race Alone","Ratio to State Median","Median Household Income",1.0
"Connecticut","09","2005-2009","Some Other Race Alone","Ratio to State Median","Margins of Error",0.05
"Connecticut","09","2005-2009","Two or More Races","Number","Median Household Income",50768.0
