Number,Town,Designation,Dateestablished,Land area(square miles),Population(in 2010),Form ofgovernment,County,Council of Governments,Native Americanname
1,Andover,Town,1848,15.46,"3,303",Town meeting,Tolland County,Capitol Region,
2,Ansonia,City,1889,6.03,"19,249",Mayor-council,New Haven County,Naugatuck Valley,
3,Ashford,Town,1714,38.79,"4,100",Town meeting,Windham County,Northeast CT,
4,Avon,Town,1830,23.12,"18,098",Council-manager,Hartford County,Capitol Region,
5,Barkhamsted,Town,1779,36.22,"3,620",Town meeting,Litchfield County,Northwest Hills,
6,Beacon Falls,Town,1871,9.78,"6,049",Town meeting,New Haven County,Naugatuck Valley,
7,Berlin,Town,1785,26.45,"19,866",Council-manager,Hartford County,Capitol Region,
8,Bethany,Town,1832,20.97,"5,563",Town meeting,New Haven County,South Central,
9,Bethel,Town,1855,16.79,"18,584",Town meeting,Fairfield County,Western CT,
10,Bethlehem,Town,1787,19.36,"3,607",Town meeting,Litchfield County,Naugatuck Valley,
11,Bloomfield,Town,1835,26.01,"20,486",Council-manager,Hartford County,Capitol Region,
12,Bolton,Town,1720,14.41,"4,980",Town meeting,Tolland County,Capitol Region,
13,Bozrah,Town,1786,19.97,"2,627",Town meeting,New London County,Southeastern CT,
14,Branford,Town,1685,21.98,"28,026",Representative town meeting,New Haven County,South Central,Totoket
15,Bridgeport,City,1821,16,"144,229",Mayor-council,Fairfield County,CT Metropolitan,Pequonock
16,Bridgewater,Town,1856,16.23,"1,727",Town meeting,Litchfield County,Western CT,
17,Bristol,City,1785,26.51,"60,477",Mayor-council,Hartford County,Naugatuck Valley,
18,Brookfield,Town,1788,19.8,"16,452",Town meeting,Fairfield County,Western CT,
19,Brooklyn,Town,1786,28.97,"8,210",Town meeting,Windham County,Northeast CT,
20,Burlington,Town,1806,29.8,"9,301",Town meeting,Hartford County,Northwest Hills,
21,Canaan,Town,1739,32.95,"1,234",Town meeting,Litchfield County,Northwest Hills,
22,Canterbury,Town,1703,39.9,"5,132",Town meeting,Windham County,Northeast CT,Peagscomsueck
23,Canton,Town,1806,24.57,"10,292",Town meeting,Hartford County,Capitol Region,
24,Chaplin,Town,1822,19.43,"2,305",Town meeting,Windham County,Northeast CT,
25,Cheshire,Town,1780,32.91,"29,261",Council-manager,New Haven County,Naugatuck Valley,
26,Chester,Town,1836,16.03,"3,994",Town meeting,Middlesex County,Lower CT River,
27,Clinton,Town,1838,16.28,"13,260",Town meeting,Middlesex County,Lower CT River,
28,Colchester,Town,1698,49.06,"16,068",Town meeting,New London County,Southeastern CT,
29,Colebrook,Town,1779,31.47,"1,485",Town meeting,Litchfield County,Northwest Hills,
30,Columbia,Town,1804,21.36,"5,485",Town meeting,Tolland County,Capitol Region,
31,Cornwall,Town,1740,46.01,"1,420",Town meeting,Litchfield County,Northwest Hills,
32,Coventry,Town,1712,37.72,"12,435",Council-manager,Tolland County,Capitol Region,
33,Cromwell,Town,1851,12.39,"14,005",Town meeting,Middlesex County,Lower CT River,
34,Danbury,City,1687,42.11,"80,893",Mayor-council,Fairfield County,Western CT,Pahquioque
35,Darien,Town,1820,12.86,"20,732",Representative town meeting,Fairfield County,Western CT,
36,Deep River,Town,1635,13.55,"4,629",Town meeting,Middlesex County,Lower CT River,Pattaquasset
37,Derby,City,1675,4.98,"12,902",Mayor-council,New Haven County,Naugatuck Valley,Paugasset
38,Durham,Town,1708,23.6,"7,388",Town meeting,Middlesex County,Lower CT River,Coginchaug
39,East Granby,Town,1858,17.48,"5,148",Town meeting,Hartford County,Capitol Region,
40,East Haddam,Town,1734,54.33,"9,126",Town meeting,Middlesex County,Lower CT River,Macki-moodus
41,East Hampton,Town,1767,35.59,"12,959",Council-manager,Middlesex County,Lower CT River,
42,East Hartford,Town,1783,18.02,"51,252",Mayor-council,Hartford County,Capitol Region,Podunk[1]
43,East Haven,Town,1785,12.26,"29,257",Mayor-council,New Haven County,South Central,
44,East Lyme,Town,1839,34.03,"19,159",Town meeting,New London County,Southeastern CT,
45,East Windsor,Town,1768,26.29,"11,162",Town meeting,Hartford County,Capitol Region,
46,Eastford,Town,1847,28.89,"1,749",Town meeting,Windham County,Northeast CT,
